"id","amount","length","frequency","grade"
98,250000,6,"Semanal","E"
99,180000,18,"Semanal","C"
100,125000,6,"Mensual","A"
101,2e+05,18,"Mensual","E"
102,170000,12,"Mensual","D"
103,155000,18,"Catorcenal","E"
104,125000,12,"Mensual","D"
105,250000,18,"Catorcenal","A"
106,250000,6,"Mensual","D"
107,250000,18,"Mensual","B"
108,50000,18,"Mensual","F"
109,250000,6,"Mensual","E"
110,130000,12,"Mensual","C"
111,65000,18,"Catorcenal","E"
112,105000,6,"Catorcenal","C"
113,230000,6,"Mensual","A"
114,205000,18,"Mensual","E"
115,1e+05,18,"Mensual","B"
116,1e+05,12,"Mensual","F"
117,170000,12,"Mensual","F"
118,50000,12,"Mensual","F"
119,50000,18,"Catorcenal","E"
120,130000,18,"Semanal","E"
121,250000,18,"Mensual","D"
122,50000,18,"Mensual","E"
123,230000,12,"Mensual","D"
124,50000,6,"Mensual","C"
125,50000,18,"Mensual","D"
126,180000,12,"Mensual","D"
127,85000,18,"Semanal","E"
128,145000,12,"Mensual","C"
129,90000,12,"Mensual","F"
130,130000,18,"Mensual","A"
131,215000,18,"Mensual","D"
132,250000,18,"Mensual","A"
133,50000,6,"Mensual","E"
134,140000,18,"Mensual","F"
135,250000,18,"Mensual","F"
136,235000,18,"Semanal","C"
137,145000,12,"Mensual","C"
138,145000,12,"Mensual","A"
139,125000,12,"Mensual","B"
140,250000,6,"Mensual","E"
141,50000,18,"Mensual","F"
142,65000,18,"Mensual","B"
143,160000,12,"Catorcenal","D"
144,170000,12,"Mensual","F"
145,2e+05,18,"Mensual","F"
146,245000,18,"Mensual","D"
147,170000,12,"Mensual","E"
148,180000,18,"Mensual","F"
149,60000,12,"Mensual","F"
150,165000,12,"Mensual","E"
151,95000,18,"Mensual","E"
152,215000,18,"Catorcenal","F"
153,205000,12,"Mensual","D"
154,115000,18,"Mensual","C"
155,50000,12,"Mensual","E"
156,230000,12,"Mensual","F"
157,140000,12,"Mensual","D"
158,250000,12,"Mensual","C"
159,170000,12,"Mensual","E"
160,105000,18,"Mensual","F"
161,105000,12,"Mensual","F"
162,90000,18,"Mensual","D"
163,90000,18,"Mensual","F"
164,110000,18,"Mensual","A"
165,50000,18,"Catorcenal","D"
166,250000,18,"Mensual","F"
167,50000,18,"Mensual","F"
168,245000,18,"Mensual","E"
169,110000,6,"Mensual","F"
170,250000,12,"Mensual","D"
171,50000,18,"Mensual","C"
172,50000,12,"Catorcenal","F"
173,210000,18,"Mensual","F"
174,185000,18,"Semanal","F"
175,145000,12,"Catorcenal","E"
176,110000,6,"Mensual","C"
177,90000,18,"Mensual","C"
178,190000,18,"Mensual","E"
179,225000,18,"Semanal","F"
180,220000,12,"Semanal","E"
181,225000,6,"Mensual","E"
182,115000,18,"Catorcenal","A"
183,230000,18,"Mensual","D"
184,150000,18,"Mensual","F"
185,2e+05,6,"Mensual","D"
186,105000,18,"Mensual","F"
187,135000,12,"Catorcenal","E"
188,70000,18,"Mensual","E"
189,250000,18,"Semanal","B"
190,50000,12,"Mensual","D"
191,1e+05,18,"Mensual","B"
192,235000,18,"Semanal","F"
193,245000,18,"Semanal","D"
194,185000,12,"Mensual","E"
195,120000,12,"Mensual","E"
196,155000,6,"Mensual","E"
197,240000,6,"Mensual","F"
198,215000,12,"Catorcenal","E"
199,55000,18,"Mensual","D"
200,110000,12,"Mensual","C"
201,170000,18,"Semanal","F"
202,155000,18,"Semanal","D"
203,50000,6,"Mensual","A"
204,205000,18,"Catorcenal","C"
205,180000,18,"Mensual","E"
206,50000,18,"Mensual","E"
207,225000,18,"Mensual","D"
208,250000,12,"Semanal","A"
209,85000,6,"Mensual","F"
210,250000,18,"Mensual","C"
211,155000,12,"Mensual","D"
212,240000,12,"Mensual","D"
213,185000,18,"Mensual","D"
214,250000,18,"Mensual","C"
215,160000,18,"Mensual","E"
216,85000,12,"Mensual","C"
217,185000,12,"Mensual","D"
218,180000,18,"Mensual","E"
219,170000,18,"Semanal","D"
220,190000,18,"Mensual","F"
221,195000,12,"Mensual","E"
222,145000,6,"Mensual","C"
223,95000,18,"Semanal","D"
224,250000,18,"Mensual","A"
225,175000,18,"Mensual","D"
226,195000,18,"Semanal","A"
227,190000,18,"Semanal","D"
228,250000,18,"Mensual","C"
229,2e+05,12,"Mensual","E"
230,1e+05,18,"Semanal","F"
231,130000,18,"Mensual","F"
232,65000,6,"Catorcenal","E"
233,165000,6,"Mensual","C"
234,240000,18,"Catorcenal","E"
235,185000,18,"Catorcenal","F"
236,125000,12,"Mensual","F"
237,80000,18,"Mensual","D"
238,250000,6,"Mensual","E"
239,140000,18,"Mensual","F"
240,205000,18,"Mensual","B"
241,60000,18,"Mensual","B"
242,145000,12,"Catorcenal","E"
243,110000,18,"Mensual","F"
244,185000,12,"Mensual","B"
245,225000,18,"Mensual","E"
246,90000,18,"Mensual","C"
247,240000,12,"Mensual","D"
248,250000,6,"Mensual","E"
249,240000,18,"Mensual","D"
250,90000,18,"Semanal","C"
251,150000,18,"Catorcenal","C"
252,180000,18,"Semanal","C"
253,250000,6,"Mensual","E"
254,125000,12,"Semanal","F"
255,135000,18,"Mensual","D"
256,180000,12,"Mensual","C"
257,225000,18,"Catorcenal","C"
258,170000,12,"Mensual","E"
259,250000,18,"Mensual","C"
260,155000,12,"Mensual","E"
261,195000,18,"Mensual","E"
262,250000,12,"Catorcenal","E"
263,250000,18,"Mensual","F"
264,165000,18,"Mensual","E"
265,75000,18,"Mensual","B"
266,2e+05,6,"Mensual","F"
267,1e+05,12,"Mensual","E"
268,125000,18,"Semanal","F"
269,190000,18,"Catorcenal","D"
270,185000,18,"Catorcenal","C"
271,60000,18,"Mensual","A"
272,65000,6,"Mensual","B"
273,2e+05,12,"Catorcenal","E"
274,110000,12,"Mensual","E"
275,205000,12,"Mensual","D"
276,50000,18,"Mensual","F"
277,110000,18,"Semanal","E"
278,170000,12,"Mensual","F"
279,55000,18,"Catorcenal","E"
280,160000,18,"Mensual","C"
281,215000,12,"Mensual","C"
282,105000,18,"Mensual","E"
283,50000,18,"Mensual","F"
284,135000,12,"Mensual","D"
285,250000,12,"Mensual","B"
286,210000,6,"Semanal","D"
287,240000,18,"Catorcenal","F"
288,175000,6,"Mensual","B"
289,85000,18,"Semanal","D"
290,170000,18,"Mensual","A"
291,190000,18,"Mensual","D"
292,205000,12,"Mensual","B"
293,75000,18,"Mensual","D"
294,125000,18,"Mensual","E"
295,215000,18,"Mensual","D"
296,240000,18,"Mensual","C"
297,250000,18,"Mensual","D"
298,170000,18,"Mensual","E"
299,115000,18,"Mensual","E"
300,105000,18,"Mensual","C"
301,250000,18,"Catorcenal","D"
302,80000,6,"Mensual","E"
303,175000,18,"Semanal","B"
304,120000,6,"Catorcenal","A"
305,230000,6,"Mensual","A"
306,230000,6,"Semanal","A"
307,155000,6,"Mensual","D"
308,250000,18,"Mensual","D"
309,190000,12,"Semanal","D"
310,115000,12,"Mensual","D"
311,175000,6,"Mensual","E"
312,50000,18,"Catorcenal","F"
313,70000,18,"Mensual","D"
314,180000,18,"Mensual","D"
315,155000,6,"Mensual","E"
316,195000,18,"Mensual","E"
317,250000,18,"Semanal","E"
318,120000,18,"Mensual","C"
319,125000,18,"Catorcenal","D"
320,195000,12,"Mensual","E"
321,65000,18,"Mensual","E"
322,215000,18,"Mensual","A"
323,230000,6,"Semanal","E"
324,140000,18,"Mensual","E"
325,65000,6,"Mensual","E"
326,250000,6,"Mensual","F"
327,155000,18,"Mensual","F"
328,250000,18,"Mensual","F"
329,55000,12,"Mensual","D"
330,220000,18,"Mensual","E"
331,60000,18,"Catorcenal","E"
332,180000,18,"Catorcenal","D"
333,105000,18,"Semanal","D"
334,250000,12,"Mensual","C"
335,245000,6,"Mensual","E"
336,250000,12,"Mensual","D"
337,250000,12,"Mensual","B"
338,210000,18,"Mensual","D"
339,2e+05,18,"Mensual","F"
340,215000,18,"Mensual","E"
341,250000,18,"Catorcenal","D"
342,230000,12,"Mensual","D"
343,130000,18,"Mensual","E"
344,170000,18,"Catorcenal","F"
345,250000,12,"Catorcenal","E"
346,50000,12,"Mensual","D"
347,50000,6,"Mensual","C"
348,120000,12,"Mensual","B"
349,110000,18,"Semanal","F"
350,190000,18,"Semanal","C"
351,195000,12,"Mensual","C"
352,220000,6,"Catorcenal","C"
353,235000,18,"Mensual","E"
354,115000,18,"Mensual","E"
355,85000,18,"Mensual","C"
356,140000,12,"Catorcenal","E"
357,250000,18,"Catorcenal","B"
358,50000,6,"Mensual","D"
359,105000,6,"Catorcenal","E"
360,155000,18,"Semanal","B"
361,190000,18,"Mensual","D"
362,135000,12,"Mensual","F"
363,210000,18,"Mensual","F"
364,190000,12,"Semanal","D"
365,185000,18,"Mensual","A"
366,240000,18,"Mensual","B"
367,235000,18,"Mensual","C"
368,180000,18,"Mensual","B"
369,155000,12,"Mensual","C"
370,50000,18,"Mensual","D"
371,115000,18,"Mensual","C"
372,150000,12,"Mensual","D"
373,130000,18,"Catorcenal","D"
374,195000,18,"Mensual","D"
375,90000,12,"Semanal","E"
376,50000,12,"Mensual","F"
377,165000,18,"Catorcenal","A"
378,90000,18,"Mensual","F"
379,185000,18,"Mensual","A"
380,90000,18,"Catorcenal","C"
381,50000,18,"Mensual","D"
382,250000,12,"Catorcenal","C"
383,225000,18,"Catorcenal","F"
384,175000,12,"Mensual","E"
385,190000,12,"Mensual","E"
386,225000,18,"Mensual","F"
387,250000,12,"Mensual","A"
388,235000,12,"Catorcenal","D"
389,55000,18,"Mensual","D"
390,250000,18,"Semanal","C"
391,65000,18,"Mensual","C"
392,220000,18,"Catorcenal","F"
393,1e+05,18,"Mensual","D"
394,165000,18,"Mensual","F"
395,135000,12,"Mensual","D"
396,165000,18,"Mensual","C"
397,240000,18,"Mensual","E"
398,55000,18,"Mensual","E"
399,140000,12,"Catorcenal","E"
400,80000,12,"Mensual","C"
401,55000,18,"Mensual","C"
402,250000,6,"Semanal","D"
403,250000,6,"Mensual","E"
404,165000,6,"Mensual","D"
405,125000,18,"Mensual","E"
406,95000,12,"Mensual","E"
407,135000,18,"Mensual","E"
408,1e+05,6,"Mensual","C"
409,250000,18,"Catorcenal","E"
410,235000,18,"Mensual","D"
411,190000,18,"Semanal","F"
412,135000,12,"Mensual","D"
413,135000,18,"Mensual","E"
414,135000,18,"Semanal","D"
415,250000,18,"Mensual","E"
416,205000,18,"Mensual","C"
417,160000,6,"Semanal","C"
418,250000,18,"Mensual","D"
419,160000,12,"Mensual","E"
420,215000,18,"Mensual","D"
421,190000,18,"Mensual","D"
422,250000,18,"Semanal","F"
423,105000,12,"Mensual","D"
424,210000,18,"Catorcenal","F"
425,140000,12,"Mensual","C"
426,50000,12,"Mensual","E"
427,50000,12,"Semanal","E"
428,155000,18,"Mensual","E"
429,230000,6,"Catorcenal","F"
430,85000,12,"Semanal","E"
431,185000,18,"Mensual","F"
432,250000,18,"Mensual","F"
433,250000,6,"Mensual","F"
434,50000,18,"Mensual","C"
435,250000,18,"Mensual","E"
436,110000,18,"Mensual","B"
437,250000,6,"Catorcenal","F"
438,2e+05,6,"Mensual","E"
439,95000,18,"Mensual","D"
440,170000,6,"Mensual","C"
441,165000,18,"Mensual","C"
442,55000,18,"Mensual","E"
443,80000,12,"Catorcenal","D"
444,60000,6,"Catorcenal","D"
445,250000,18,"Mensual","F"
446,120000,18,"Mensual","D"
447,250000,12,"Mensual","E"
448,50000,6,"Mensual","E"
449,160000,18,"Mensual","E"
450,145000,12,"Mensual","E"
451,165000,18,"Semanal","E"
452,1e+05,12,"Mensual","C"
453,145000,18,"Mensual","E"
454,90000,6,"Mensual","F"
455,155000,18,"Mensual","F"
456,190000,6,"Mensual","E"
457,155000,6,"Mensual","B"
458,155000,18,"Catorcenal","F"
459,175000,18,"Catorcenal","E"
460,1e+05,6,"Mensual","B"
461,85000,18,"Mensual","C"
462,245000,18,"Catorcenal","C"
463,1e+05,18,"Mensual","A"
464,170000,18,"Catorcenal","F"
465,190000,18,"Mensual","E"
466,145000,6,"Mensual","F"
467,55000,18,"Mensual","D"
468,50000,18,"Mensual","D"
469,1e+05,12,"Mensual","F"
470,190000,12,"Mensual","A"
471,250000,12,"Catorcenal","F"
472,1e+05,18,"Mensual","D"
473,50000,18,"Mensual","C"
474,55000,18,"Mensual","D"
475,120000,18,"Mensual","D"
476,95000,18,"Mensual","F"
477,250000,18,"Mensual","B"
478,75000,18,"Mensual","F"
479,155000,6,"Mensual","E"
480,70000,6,"Semanal","F"
481,140000,6,"Mensual","A"
482,205000,18,"Catorcenal","D"
483,210000,18,"Mensual","D"
484,120000,18,"Mensual","A"
485,230000,18,"Mensual","C"
486,110000,18,"Mensual","C"
487,145000,6,"Mensual","E"
488,205000,6,"Catorcenal","C"
489,50000,18,"Semanal","F"
490,150000,18,"Mensual","B"
491,155000,18,"Mensual","E"
492,235000,18,"Mensual","F"
493,250000,6,"Mensual","C"
494,115000,12,"Mensual","D"
495,180000,18,"Mensual","D"
496,155000,12,"Mensual","A"
497,125000,18,"Semanal","E"
498,135000,18,"Semanal","E"
499,230000,18,"Semanal","F"
500,55000,18,"Mensual","E"
501,50000,18,"Mensual","E"
502,170000,18,"Mensual","F"
503,250000,12,"Mensual","D"
504,110000,18,"Semanal","D"
505,205000,18,"Mensual","E"
506,225000,12,"Catorcenal","F"
507,85000,18,"Mensual","D"
508,160000,18,"Semanal","F"
509,240000,12,"Catorcenal","E"
510,75000,18,"Catorcenal","C"
511,65000,18,"Mensual","E"
512,235000,18,"Mensual","E"
513,2e+05,18,"Semanal","D"
514,225000,12,"Semanal","B"
515,250000,18,"Mensual","F"
516,1e+05,6,"Mensual","E"
517,250000,18,"Catorcenal","E"
518,235000,18,"Mensual","D"
519,250000,12,"Mensual","D"
520,205000,18,"Mensual","F"
521,80000,12,"Catorcenal","E"
522,50000,18,"Catorcenal","E"
523,95000,12,"Mensual","F"
524,90000,18,"Semanal","F"
525,250000,12,"Mensual","E"
526,115000,18,"Semanal","F"
527,160000,18,"Mensual","D"
528,240000,18,"Mensual","E"
529,2e+05,18,"Semanal","D"
530,210000,18,"Semanal","F"
531,140000,18,"Mensual","C"
532,205000,6,"Mensual","E"
533,55000,18,"Mensual","B"
534,50000,12,"Catorcenal","E"
535,80000,12,"Mensual","A"
536,165000,18,"Mensual","C"
537,140000,18,"Semanal","E"
538,130000,6,"Mensual","F"
539,140000,12,"Mensual","D"
540,250000,12,"Catorcenal","F"
541,140000,18,"Mensual","F"
542,120000,18,"Mensual","D"
543,250000,18,"Mensual","A"
544,245000,18,"Mensual","E"
545,135000,12,"Mensual","C"
546,250000,12,"Mensual","F"
547,50000,6,"Mensual","E"
548,220000,18,"Mensual","E"
549,180000,12,"Mensual","E"
550,80000,18,"Semanal","F"
551,75000,12,"Mensual","D"
552,250000,18,"Mensual","E"
553,135000,18,"Mensual","F"
554,140000,12,"Mensual","E"
555,250000,18,"Semanal","E"
556,225000,18,"Mensual","E"
557,215000,18,"Semanal","E"
558,250000,6,"Catorcenal","C"
559,250000,12,"Mensual","C"
560,140000,18,"Mensual","F"
561,160000,18,"Mensual","F"
562,185000,6,"Mensual","F"
563,230000,12,"Mensual","F"
564,140000,18,"Semanal","C"
565,245000,12,"Mensual","E"
566,225000,18,"Mensual","E"
567,1e+05,18,"Mensual","E"
568,155000,6,"Mensual","A"
569,250000,18,"Catorcenal","A"
570,50000,12,"Mensual","D"
571,90000,6,"Mensual","A"
572,195000,18,"Mensual","C"
573,165000,6,"Mensual","D"
574,125000,18,"Catorcenal","E"
575,125000,12,"Mensual","D"
576,195000,18,"Semanal","A"
577,250000,12,"Mensual","E"
578,250000,18,"Mensual","F"
579,235000,18,"Mensual","E"
580,210000,12,"Mensual","D"
581,240000,18,"Catorcenal","E"
582,90000,18,"Mensual","F"
583,120000,18,"Catorcenal","E"
584,120000,6,"Mensual","B"
585,240000,6,"Mensual","D"
586,120000,18,"Mensual","D"
587,135000,6,"Semanal","D"
588,205000,12,"Catorcenal","C"
589,210000,18,"Mensual","C"
590,165000,6,"Mensual","D"
591,245000,18,"Mensual","E"
592,50000,18,"Mensual","D"
593,250000,18,"Catorcenal","F"
594,175000,12,"Mensual","C"
595,175000,12,"Mensual","F"
596,220000,6,"Catorcenal","C"
597,140000,18,"Mensual","A"
598,170000,12,"Mensual","F"
599,160000,18,"Semanal","E"
600,250000,18,"Mensual","B"
601,175000,18,"Mensual","E"
602,250000,18,"Mensual","B"
603,250000,18,"Mensual","C"
604,50000,12,"Semanal","D"
605,250000,18,"Mensual","F"
606,80000,18,"Mensual","D"
607,60000,18,"Mensual","C"
608,65000,18,"Mensual","D"
609,175000,18,"Mensual","E"
610,250000,18,"Semanal","E"
611,50000,18,"Mensual","C"
612,145000,18,"Catorcenal","E"
613,125000,18,"Semanal","A"
614,125000,12,"Catorcenal","C"
615,140000,18,"Mensual","A"
616,220000,18,"Semanal","F"
617,205000,12,"Mensual","F"
618,50000,18,"Mensual","F"
619,175000,18,"Mensual","F"
620,250000,18,"Catorcenal","D"
621,170000,18,"Mensual","E"
622,185000,18,"Mensual","E"
623,80000,18,"Catorcenal","D"
624,250000,18,"Mensual","E"
625,60000,18,"Catorcenal","C"
626,250000,6,"Semanal","C"
627,250000,12,"Mensual","E"
628,250000,18,"Semanal","F"
629,250000,18,"Mensual","F"
630,185000,18,"Mensual","E"
631,120000,6,"Mensual","A"
632,130000,18,"Semanal","C"
633,65000,18,"Mensual","F"
634,50000,18,"Mensual","E"
635,70000,18,"Mensual","A"
636,175000,12,"Mensual","F"
637,180000,18,"Mensual","F"
638,2e+05,18,"Mensual","A"
639,250000,12,"Mensual","E"
640,70000,12,"Mensual","F"
641,130000,18,"Mensual","D"
642,135000,18,"Mensual","D"
643,145000,18,"Mensual","A"
644,90000,18,"Mensual","C"
645,50000,18,"Mensual","C"
646,75000,18,"Semanal","E"
647,105000,12,"Mensual","E"
648,50000,6,"Catorcenal","C"
649,85000,12,"Mensual","E"
650,225000,18,"Catorcenal","F"
651,250000,18,"Catorcenal","A"
652,110000,18,"Catorcenal","C"
653,165000,18,"Mensual","C"
654,235000,18,"Mensual","F"
655,145000,18,"Mensual","F"
656,160000,12,"Mensual","D"
657,140000,6,"Mensual","C"
658,195000,18,"Mensual","E"
659,70000,18,"Catorcenal","F"
660,250000,18,"Mensual","E"
661,180000,18,"Mensual","A"
662,145000,18,"Semanal","E"
663,165000,12,"Semanal","D"
664,85000,18,"Mensual","D"
665,210000,18,"Catorcenal","E"
666,250000,18,"Mensual","E"
667,130000,18,"Mensual","D"
668,220000,18,"Mensual","A"
669,60000,12,"Mensual","E"
670,185000,6,"Mensual","D"
671,250000,6,"Mensual","E"
672,235000,18,"Semanal","C"
673,205000,12,"Semanal","A"
674,245000,6,"Mensual","A"
675,85000,12,"Mensual","E"
676,205000,12,"Mensual","C"
677,80000,18,"Catorcenal","E"
678,140000,12,"Mensual","D"
679,135000,18,"Catorcenal","B"
680,235000,6,"Mensual","A"
681,250000,18,"Mensual","A"
682,215000,12,"Mensual","F"
683,180000,12,"Mensual","E"
684,55000,6,"Catorcenal","E"
685,110000,12,"Mensual","C"
686,250000,12,"Catorcenal","E"
687,50000,18,"Catorcenal","E"
688,205000,18,"Semanal","E"
689,190000,18,"Mensual","B"
690,180000,18,"Mensual","E"
691,245000,12,"Mensual","E"
692,250000,18,"Mensual","E"
693,1e+05,6,"Mensual","D"
694,60000,18,"Mensual","C"
695,160000,12,"Mensual","D"
696,210000,18,"Mensual","E"
697,85000,12,"Mensual","E"
698,215000,18,"Catorcenal","D"
699,125000,18,"Mensual","E"
700,205000,12,"Semanal","E"
701,250000,18,"Mensual","F"
702,175000,12,"Catorcenal","B"
703,180000,18,"Catorcenal","F"
704,75000,6,"Mensual","A"
705,85000,12,"Mensual","F"
706,120000,6,"Catorcenal","C"
707,220000,12,"Mensual","E"
708,250000,18,"Mensual","F"
709,185000,18,"Mensual","E"
710,215000,18,"Mensual","E"
711,180000,18,"Semanal","F"
712,250000,18,"Mensual","F"
713,145000,18,"Mensual","E"
714,225000,12,"Mensual","E"
715,95000,6,"Catorcenal","D"
716,225000,6,"Mensual","E"
717,140000,18,"Mensual","F"
718,205000,6,"Mensual","E"
719,85000,18,"Mensual","C"
720,170000,18,"Mensual","F"
721,90000,18,"Mensual","F"
722,50000,18,"Mensual","D"
723,245000,18,"Semanal","F"
724,110000,18,"Catorcenal","D"
725,175000,18,"Catorcenal","C"
726,140000,18,"Mensual","C"
727,240000,18,"Mensual","E"
728,230000,18,"Mensual","E"
729,180000,12,"Mensual","E"
730,170000,18,"Mensual","B"
731,80000,18,"Mensual","E"
732,140000,18,"Mensual","C"
733,110000,12,"Mensual","E"
734,250000,6,"Mensual","E"
735,220000,12,"Mensual","C"
736,50000,18,"Mensual","C"
737,55000,12,"Mensual","F"
738,175000,18,"Mensual","C"
739,1e+05,18,"Mensual","F"
740,150000,6,"Semanal","E"
741,190000,6,"Mensual","D"
742,250000,18,"Catorcenal","F"
743,235000,18,"Mensual","E"
744,250000,18,"Mensual","E"
745,250000,18,"Mensual","D"
746,225000,18,"Mensual","F"
747,80000,12,"Mensual","E"
748,85000,12,"Catorcenal","E"
749,75000,6,"Mensual","E"
750,2e+05,6,"Catorcenal","E"
751,50000,6,"Mensual","E"
752,2e+05,18,"Semanal","F"
753,105000,18,"Semanal","E"
754,105000,18,"Mensual","F"
755,90000,12,"Catorcenal","C"
756,190000,18,"Mensual","D"
757,190000,18,"Mensual","E"
758,110000,18,"Semanal","C"
759,250000,12,"Mensual","D"
760,155000,12,"Mensual","F"
761,185000,12,"Mensual","C"
762,220000,18,"Mensual","F"
763,210000,12,"Mensual","D"
764,85000,12,"Catorcenal","C"
765,170000,6,"Mensual","D"
766,145000,18,"Semanal","F"
767,80000,6,"Catorcenal","F"
768,185000,18,"Mensual","D"
769,160000,18,"Mensual","F"
770,95000,18,"Mensual","E"
771,250000,18,"Mensual","E"
772,125000,18,"Mensual","C"
773,180000,18,"Mensual","C"
774,130000,6,"Mensual","F"
775,85000,6,"Catorcenal","F"
776,250000,18,"Mensual","F"
777,150000,18,"Catorcenal","D"
778,175000,18,"Mensual","D"
779,170000,12,"Mensual","E"
780,125000,18,"Mensual","D"
781,50000,18,"Mensual","E"
782,220000,18,"Mensual","D"
783,220000,12,"Mensual","D"
784,90000,18,"Mensual","D"
785,130000,18,"Mensual","E"
786,205000,18,"Mensual","D"
787,95000,18,"Mensual","D"
788,50000,12,"Mensual","F"
789,160000,12,"Mensual","C"
790,195000,6,"Catorcenal","D"
791,60000,18,"Catorcenal","D"
792,140000,18,"Mensual","F"
793,185000,18,"Mensual","C"
794,115000,6,"Semanal","E"
795,135000,18,"Mensual","C"
796,95000,18,"Catorcenal","E"
797,105000,6,"Catorcenal","C"
798,235000,18,"Mensual","B"
799,250000,6,"Mensual","A"
800,120000,12,"Catorcenal","E"
801,195000,6,"Semanal","C"
802,210000,6,"Mensual","B"
803,180000,18,"Mensual","B"
804,190000,6,"Mensual","B"
805,140000,18,"Mensual","B"
806,55000,18,"Mensual","E"
807,225000,18,"Mensual","D"
808,250000,18,"Mensual","D"
809,55000,18,"Mensual","B"
810,195000,12,"Mensual","D"
811,2e+05,18,"Mensual","E"
812,140000,18,"Semanal","E"
813,125000,12,"Catorcenal","D"
814,170000,18,"Semanal","D"
815,70000,12,"Mensual","A"
816,210000,12,"Mensual","E"
817,250000,12,"Mensual","A"
818,105000,18,"Mensual","B"
819,235000,6,"Mensual","A"
820,225000,12,"Catorcenal","E"
821,175000,12,"Catorcenal","B"
822,75000,18,"Catorcenal","D"
823,95000,18,"Mensual","B"
824,115000,12,"Catorcenal","B"
825,225000,18,"Catorcenal","E"
826,160000,18,"Catorcenal","E"
827,1e+05,18,"Mensual","F"
828,2e+05,12,"Semanal","E"
829,95000,18,"Mensual","D"
830,250000,18,"Mensual","E"
831,50000,18,"Mensual","F"
832,155000,18,"Mensual","E"
833,185000,6,"Mensual","F"
834,230000,18,"Mensual","D"
835,90000,6,"Semanal","C"
836,210000,18,"Catorcenal","F"
837,50000,18,"Mensual","E"
838,50000,18,"Mensual","F"
839,80000,12,"Mensual","E"
840,250000,18,"Semanal","C"
841,130000,6,"Semanal","A"
842,250000,18,"Mensual","E"
843,180000,18,"Mensual","C"
844,65000,12,"Mensual","E"
845,145000,18,"Mensual","F"
846,225000,6,"Mensual","F"
847,220000,12,"Mensual","D"
848,110000,18,"Mensual","C"
849,185000,18,"Catorcenal","F"
850,55000,18,"Mensual","E"
851,215000,18,"Catorcenal","F"
